Name,Label,Length,EffectiveLength,6_Acute_KO_3,5_Acute_KO_2,9_Chronic_Control_3,3_Acute_Control_3,2_Acute_Control_2,10_Chronic_KO_1,4_Acute_KO_1,1_Acute_Control_1,7_Chronic_Control_1,11_Chronic_KO_2,12_Chronic_KO_3,8_Chronic_Control_2
ENSMUSG00000026707,Nsun6,NA,NA,40.0,34.0,34.0,49.0,64.0,20.0,46.0,57.0,58.0,22.0,18.0,11.0
ENSMUSG00000050023,Or5d46,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000020838,Slc6a4,NA,NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000051316,Taf7,NA,NA,78.0,101.0,58.0,134.0,116.0,114.0,81.0,112.0,153.864,65.0,98.0,36.0
ENSMUSG00000025221,Kcnip2,NA,NA,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0
ENSMUSG00000021388,Aspn,NA,NA,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000029072,Tas1r3,NA,NA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
ENSMUSG00000055319,Sec23ip,NA,NA,464.0,570.0,373.0,823.0,779.0,448.0,599.0,830.0,655.0,371.0,306.0,292.0
ENSMUSG00000092225,Gm2381,NA,NA,0.0,0.0,0.0,0.0,3.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000027868,Tbx15,NA,NA,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
ENSMUSG00000029061,Mmp23,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000055305,Zfp93,NA,NA,5.068,4.128,0.0,5.952,3.359,7.313,8.336,2.888,1.366,2.559,4.597,1.176
ENSMUSG00000029623,Pdap1,NA,NA,202.0,278.0,100.0,157.0,157.0,140.0,185.0,178.0,145.993,103.0,70.0,74.0
ENSMUSG00000034416,Pkd1l2,NA,NA,41.0,31.0,20.0,58.0,72.0,18.0,4.0,63.0,18.0,18.0,30.0,9.0
ENSMUSG00000041912,Tdrkh,NA,NA,23.0,52.0,19.0,41.0,25.0,15.0,14.0,30.0,8.0,11.0,1.0,6.0
ENSMUSG00000022421,Nptxr,NA,NA,8.0,0.0,5.0,0.0,2.0,13.876,20.0,0.0,13.0,13.0,0.0,6.0
ENSMUSG00000099486,Or4c122,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000902,Smarcb1,NA,NA,596.0,623.0,393.0,592.0,854.0,521.0,654.0,727.0,614.0,471.0,300.0,420.0
ENSMUSG00000021575,Ahrr,NA,NA,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
ENSMUSG00000038537,Mc3r,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000052407,Ccdc171,NA,NA,21.0,19.0,13.0,27.0,35.0,11.0,18.0,26.0,8.0,14.0,15.0,6.0
ENSMUSG00000027012,Dync1i2,NA,NA,872.0,968.001,736.0,1091.0,1317.0,940.0,1441.0,1238.0,1763.0,862.0,621.999,696.0
ENSMUSG00000059383,Gfral,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032528,Vipr1,NA,NA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032735,Ablim3,NA,NA,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000039529,Atp8b1,NA,NA,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0
ENSMUSG00000032966,Fkbp1a,NA,NA,694.0,571.0,456.0,784.0,762.0,624.0,447.0,615.0,698.0,496.0,224.0,282.0
ENSMUSG00000035745,Grin3b,NA,NA,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.082,1.0,7.0,0.0
ENSMUSG00000076478,Trbv23,NA,NA,2.0,9.0,0.0,1.0,8.0,2.0,2.0,7.0,0.0,1.0,1.0,2.0
ENSMUSG00000090744,Gm6871,NA,NA,1.243,0.0,2.118,1.039,3.474,0.0,5.219,1.032,2.655,1.04,0.0,0.0
ENSMUSG00000047518,Slfnl1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000094884,Or12d15,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000040620,Dhx33,NA,NA,101.0,124.0,52.0,99.0,156.0,110.0,123.0,163.001,99.0,113.0,63.0,52.0
ENSMUSG00000030222,Rerg,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000069874,Irgm2,NA,NA,67.645,65.608,155.034,197.715,338.319,87.654,263.182,319.61,225.455,77.062,75.721,137.701
ENSMUSG00000035095,Fam167a,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000046678,Or10g6,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000031285,Dcx,NA,NA,1.0,73.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,1.0
ENSMUSG00000067028,Cntnap5b,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000063903,Klk1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000045797,4930402K13Rik,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000042279,H1f8,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025839,Pramel7,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029098,Acox3,NA,NA,319.0,301.0,408.0,346.0,478.0,246.0,304.0,411.0,437.0,241.999,234.0,219.0
ENSMUSG00000028441,Spmip6,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000092572,Serpinb10,NA,NA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
ENSMUSG00000028234,Rps20,NA,NA,561.0,725.0,266.0,480.0,412.0,631.0,497.0,340.0,594.0,389.0,399.0,189.0
ENSMUSG00000061798,Or4c106,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000028463,Car9,NA,NA,12.0,24.0,39.0,29.0,21.0,59.0,46.0,29.0,71.0,70.0,28.0,33.0
ENSMUSG00000056234,Ncoa4,NA,NA,842.0,947.0,712.0,844.0,1413.001,667.0,836.999,1297.0,1040.0,588.0,504.0,435.0
ENSMUSG00000089762,Ier5l,NA,NA,109.034,117.848,187.057,206.0,230.119,120.0,65.0,180.058,107.0,113.0,92.0,55.062
ENSMUSG00000014361,Mertk,NA,NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000038502,Ptov1,NA,NA,51.1,203.935,74.23,86.742,80.18,145.013,116.171,76.738,190.688,190.875,130.444,96.979
ENSMUSG00000031523,Dlc1,NA,NA,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.697,0.0
ENSMUSG00000001123,Lgals9,NA,NA,322.0,394.025,435.0,572.0,959.0,301.0,435.0,834.0,385.0,250.0,173.0,299.0
ENSMUSG00000078779,Zfp59,NA,NA,20.028,23.218,7.237,28.67,43.353,17.4,28.028,36.14,25.115,17.571,5.62,10.761
ENSMUSG00000048154,Kmt2d,NA,NA,1201.424,976.182,645.202,2069.226,1521.707,829.183,788.291,1436.857,1217.6,707.632,1680.904,483.874
ENSMUSG00000042589,Cux2,NA,NA,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.031,0.0
ENSMUSG00000095633,Igkv4-58,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000095474,Cldn34c2,NA,NA,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000110259,Or51b6,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000040280,Ndufa4l2,NA,NA,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000058856,Or8g33,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000031432,Prps1,NA,NA,75.421,124.154,66.16,88.557,178.558,93.393,147.747,126.927,115.002,102.6,45.497,75.6
ENSMUSG00000050505,Pcdh20,NA,NA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ENSMUSG00000025212,Sfxn3,NA,NA,153.0,102.0,141.0,171.0,221.0,99.0,140.0,155.0,151.0,88.0,36.0,96.0
ENSMUSG00000086158,Pierce2,NA,NA,2.0,10.0,8.0,8.0,14.0,9.0,6.0,4.0,5.0,8.0,6.0,0.0
ENSMUSG00000041247,Lamp3,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000040007,Bahd1,NA,NA,341.0,263.0,278.0,559.0,466.0,255.0,255.0,444.0,223.0,197.0,172.0,152.0
ENSMUSG00000055612,Cdca7,NA,NA,100.0,265.999,51.0,78.0,160.0,389.0,309.606,133.878,222.882,250.947,204.0,192.0
ENSMUSG00000045699,Gm21411,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000034342,Cbl,NA,NA,203.0,192.0,218.0,313.018,250.0,458.0,476.0,269.0,461.0,364.0,277.0,224.0
ENSMUSG00000039878,Slc39a5,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
ENSMUSG00000049321,Zfp2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,2.047,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000050103,Agmo,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033022,Cdo1,NA,NA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000024772,Ehd1,NA,NA,720.903,608.036,493.901,647.655,696.257,642.989,405.871,572.792,541.983,437.0,306.59,258.998
ENSMUSG00000009670,Tex11,NA,NA,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032278,Paqr5,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000052301,Doc2a,NA,NA,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
ENSMUSG00000032300,1700017B05Rik,NA,NA,1270.0,1020.0,891.001,1410.0,1304.0,1075.0,764.0,1035.0,658.001,798.0,534.0,387.0
ENSMUSG00000024038,Ndufv3,NA,NA,892.0,707.0,844.0,769.0,757.0,1051.0,1013.001,603.001,1487.0,973.0,671.002,656.0
ENSMUSG00000040838,Gm11639,NA,NA,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0
ENSMUSG00000009580,Odam,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000121597,NA,NA,NA,1.445,7.574,0.0,0.0,0.0,0.0,9.838,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000096069,Or13a28,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000030131,Mug2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ENSMUSG00000080115,Eef1akmt3,NA,NA,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
ENSMUSG00000032065,Tex12,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000052593,Adam17,NA,NA,117.0,160.0,129.0,217.0,192.0,204.0,300.0,185.0,248.0,236.0,173.0,129.0
ENSMUSG00000045474,Or2ad1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000024757,Slc22a19,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000037049,Smpd1,NA,NA,222.0,194.0,428.0,413.0,314.0,380.0,263.0,227.01,527.0,442.0,336.913,245.0
ENSMUSG00000067526,Or4d10,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029759,Pon3,NA,NA,16.0,21.0,6.0,5.0,17.0,58.0,66.0,17.0,39.0,44.0,31.0,24.0
ENSMUSG00000024696,Lpxn,NA,NA,878.0,977.0,648.0,763.0,1302.0,918.0,1306.0,1060.0,1002.0,775.0,659.0,768.0
ENSMUSG00000048047,Zbtb33,NA,NA,90.0,145.0,59.0,139.0,198.0,59.0,103.0,207.0,102.0,63.0,44.0,49.0
ENSMUSG00000076535,Igkv1-88,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000037606,Osbpl5,NA,NA,300.787,267.0,372.0,488.0,487.0,373.0,386.0,430.0,498.0,307.0,208.0,318.01
ENSMUSG00000029595,Lhx5,NA,NA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
ENSMUSG00000078554,Fam229a,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000006651,Aplp1,NA,NA,18.0,14.0,8.0,12.0,8.0,164.0,96.0,5.0,100.0,135.0,72.0,61.0
ENSMUSG00000082980,Or4x13,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000001988,Npas1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000044786,Zfp36,NA,NA,1081.0,724.0,960.0,530.0,683.0,796.0,357.0,605.0,479.0,711.911,479.916,226.0
ENSMUSG00000047822,Angptl8,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000066406,Akap13,NA,NA,1625.0,1499.999,1472.0,2440.0,1885.999,2887.001,2907.0,1941.0,4090.0,2535.0,1903.0,1569.999
ENSMUSG00000012076,Brms1l,NA,NA,9.0,32.0,13.0,12.0,7.0,18.0,5.0,15.0,10.0,7.0,11.0,4.0
ENSMUSG00000021820,Camk2g,NA,NA,94.0,100.293,122.882,124.677,169.001,114.001,74.0,114.999,96.001,94.999,67.803,42.0
ENSMUSG00000092622,Khdc3,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ENSMUSG00000109449,Or4k36,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000028152,Tspan5,NA,NA,0.0,7.0,0.0,0.0,1.0,6.0,1.0,3.0,7.0,4.0,3.0,2.0
ENSMUSG00000001076,C1ql4,NA,NA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000027164,Traf6,NA,NA,16.0,16.0,6.024,5.0,21.0,16.0,33.0,10.0,13.0,32.0,18.122,12.0
ENSMUSG00000040372,Gpr63,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000021692,Dimt1,NA,NA,201.0,165.0,80.0,131.0,179.0,155.0,167.0,163.0,156.0,102.0,116.0,82.0
ENSMUSG00000018334,Ksr1,NA,NA,53.0,47.0,51.0,114.0,86.0,31.0,48.0,87.0,54.0,32.0,42.981,21.0
ENSMUSG00000094690,1600014C23Rik,NA,NA,0.0,2.0,0.0,4.0,0.0,1.0,6.0,2.0,2.0,5.0,0.0,3.0
ENSMUSG00000059455,Plac8l1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000057729,Prtn3,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000053931,Cnn3,NA,NA,23.0,181.0,14.0,5.0,14.0,28.0,31.0,5.0,15.0,43.0,20.0,17.0
ENSMUSG00000025745,Hadha,NA,NA,1213.0,1130.0,810.0,1540.0,1579.0,1309.0,1547.0,1445.0,2037.0,1017.0,744.0,964.0
ENSMUSG00000029377,Ereg,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000102252,Snrpn,NA,NA,5.007,14.05,4.023,7.668,5.552,5.004,2.009,1.163,17.0,5.0,8.0,0.0
ENSMUSG00000027173,Depdc7,NA,NA,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSMUSG00000100704,Gm28434,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000042870,Tom1,NA,NA,69.0,76.0,127.798,144.001,128.641,153.879,140.758,99.72,255.0,162.0,86.0,104.0
ENSMUSG00000032110,Acrv1,NA,NA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000028776,Tinagl1,NA,NA,5.0,4.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,3.0,3.0,1.0
ENSMUSG00000038233,Gask1a,NA,NA,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0
ENSMUSG00000093938,Evi2b,NA,NA,299.0,391.0,241.0,396.0,630.0,344.0,407.0,540.0,431.0,261.0,222.0,184.0
ENSMUSG00000048755,Mcat,NA,NA,46.0,34.0,23.0,50.0,66.0,60.0,60.0,76.0,56.0,57.0,66.0,32.0
ENSMUSG00000004100,Ppan,NA,NA,764.0,669.0,223.0,522.0,834.0,986.0,889.0,689.0,855.0,668.0,334.0,653.0
ENSMUSG00000005681,Apoa2,NA,NA,1.0,2.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0
ENSMUSG00000102018,Iqank1,NA,NA,5.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0
ENSMUSG00000024246,Thumpd2,NA,NA,18.0,17.0,20.0,27.0,26.0,23.0,24.0,20.0,13.0,20.0,24.0,16.0
ENSMUSG00000040612,Ildr2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000044952,Kctd21,NA,NA,2.0,13.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,2.0,2.0,1.0
ENSMUSG00000058966,Tlcd3b,NA,NA,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ENSMUSG00000024936,Kcnk7,NA,NA,37.0,28.0,30.0,46.0,48.0,122.0,71.0,31.0,118.0,81.0,30.0,65.0
ENSMUSG00000001134,Uxt,NA,NA,143.0,153.0,85.0,131.0,178.0,86.0,148.0,147.0,122.0,78.0,61.0,51.0
ENSMUSG00000031273,Col4a6,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ENSMUSG00000021252,Erg28,NA,NA,256.0,275.0,155.0,281.0,309.0,414.0,323.0,325.0,386.0,304.0,203.0,188.0
ENSMUSG00000069189,Zdhhc11,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ENSMUSG00000090862,Rps13,NA,NA,4134.0,3369.0,1537.0,2891.0,4375.0,5266.0,3644.0,2911.0,3612.0,3792.0,2551.0,4872.0
ENSMUSG00000063129,Aldoart2,NA,NA,44.387,37.299,49.626,55.014,39.734,54.346,145.667,30.695,156.047,66.548,33.24,46.851
ENSMUSG00000071078,Nr2c2ap,NA,NA,177.0,148.0,96.0,130.0,174.0,136.0,138.0,186.0,155.0,101.0,105.0,92.0
ENSMUSG00000037143,Cfap61,NA,NA,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0
ENSMUSG00000045237,Eola1,NA,NA,39.0,59.0,47.0,52.0,52.0,27.0,43.0,44.0,31.0,18.0,17.0,21.0
ENSMUSG00000031309,Rps6ka3,NA,NA,202.0,221.0,141.0,266.264,273.547,280.0,430.0,247.999,359.0,262.545,169.0,166.0
ENSMUSG00000114582,3110040M04Rik,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029716,Tfr2,NA,NA,3.0,0.0,3.0,3.0,0.0,8.0,5.0,3.0,3.0,10.0,3.0,2.0
ENSMUSG00000029084,Cd38,NA,NA,77.0,108.0,85.0,54.0,63.0,119.0,79.0,43.0,95.0,104.0,97.0,47.0
ENSMUSG00000084989,Crocc2,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,1.0
ENSMUSG00000095896,Ifna14,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000036924,Cst13,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000021456,Fbp2,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000050071,Bex1,NA,NA,0.0,8.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029617,Ccz1,NA,NA,23.0,33.0,15.0,29.0,49.0,36.0,38.0,34.0,32.0,30.0,11.0,12.0
ENSMUSG00000026270,Capn10,NA,NA,20.0,13.0,9.0,21.0,26.0,9.0,34.0,22.0,39.0,12.0,13.0,15.0
ENSMUSG00000059991,Nptx2,NA,NA,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
ENSMUSG00000038456,Dennd2a,NA,NA,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000053391,Or13a1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000052485,Tmem171,NA,NA,835.0,784.0,202.0,302.0,656.0,366.0,228.0,685.0,175.0,233.0,173.0,114.0
ENSMUSG00000022269,Marchf11,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000094706,Gm10338,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000035051,Dhx57,NA,NA,160.0,131.0,153.0,269.0,207.0,234.0,333.0,219.0,366.0,200.0,153.0,172.0
ENSMUSG00000032038,St3gal4,NA,NA,23.0,46.0,33.0,54.0,96.0,70.0,86.0,87.0,87.0,70.0,27.0,35.0
ENSMUSG00000094813,Gm20777,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048498,Cd300e,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000021879,Dnah12,NA,NA,7.0,7.0,0.0,13.0,24.0,2.0,1.0,19.0,0.0,0.0,3.0,1.0
ENSMUSG00000064264,Zfp428,NA,NA,2.0,11.0,1.0,2.0,4.0,1.0,4.0,3.0,0.0,1.0,10.0,2.0
ENSMUSG00000042508,Dmtf1,NA,NA,27.0,31.0,24.0,73.0,51.999,34.0,64.0,52.0,66.0,39.0,39.0,12.0
ENSMUSG00000031709,Tbc1d9,NA,NA,1.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
ENSMUSG00000029112,Nkx1-1,NA,NA,0.0,1.0,1.048,0.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,0.0
ENSMUSG00000111190,Or8g29-ps1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000020653,Klf11,NA,NA,22.0,14.0,26.0,14.0,24.0,22.0,18.0,29.0,11.0,9.0,19.0,9.0
ENSMUSG00000067594,Krt77,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000002228,Ppm1j,NA,NA,553.0,434.0,492.0,516.0,728.0,705.0,632.0,649.0,980.0,610.0,506.0,462.0
ENSMUSG00000075028,Prdm11,NA,NA,11.0,8.001,8.0,11.0,37.0,11.0,19.0,35.0,21.0,16.0,12.0,23.0
ENSMUSG00000001248,Gramd1a,NA,NA,829.999,615.001,612.999,662.0,678.0,1412.0,833.488,611.001,1380.001,1121.0,780.999,534.001
ENSMUSG00000095407,Tmem200c,NA,NA,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
ENSMUSG00000039637,Coro7,NA,NA,505.0,438.0,462.0,403.0,295.0,965.0,892.0,299.0,1260.0,723.0,468.0,558.0
ENSMUSG00000036249,ENSMUSG00000036249,NA,NA,67.0,79.0,66.0,122.0,146.0,45.0,78.0,156.0,105.0,32.0,33.0,43.0
ENSMUSG00000020310,Madcam1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000043079,Synpo,NA,NA,5.0,4.0,4.0,3.0,7.0,8.0,0.0,9.0,1.0,12.0,13.0,3.0
ENSMUSG00000041837,Pdcd7,NA,NA,210.0,131.0,258.0,250.0,215.0,390.0,461.0,210.0,878.0,435.0,299.0,365.0
ENSMUSG00000024672,Ms4a7,NA,NA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033487,Fndc3a,NA,NA,582.0,666.0,819.0,1132.0,560.0,799.0,731.0,570.0,1403.0,789.0,596.0,381.0
ENSMUSG00000060279,Ap2a1,NA,NA,281.794,349.833,228.489,352.029,334.235,578.378,371.464,260.596,391.32,392.41,273.71,194.023
